shedno,shed_area,edge_pit,pit_area,pit_vol,pit_elev,pit_seqno,pit_row,pit_col,pre_vol,varatio,in_seqno,in_row,in_col,in_elev,out_seqno,out_row,out_col,out_elev,drains_to,pour_elev,pond_shed,edge_pit_out,pit_elev_out,pit_seqno_out,pour_elev_out,next_pit,end_pit,removed,becomes,final
1,2699,FALSE,32,2.439999999999827,672.899,13018,87,118,0,0.9040385327898581,13767,92,117,673.072,13917,93,117,673.066,17,673.072,30,FALSE,671.127,17061,671.287,17,30,FALSE,23,FALSE
17,1490,FALSE,75,6.092000000002599,671.127,17061,114,111,0,4.08859060402859,18107,121,107,671.284,18257,122,107,671.287,21,671.287,30,TRUE,669.989,21547,671.287,21,30,FALSE,23,FALSE
21,1261,TRUE,283,142.38900000001024,669.989,21547,144,97,0,112.91752577320399,18257,122,107,671.287,18107,121,107,671.284,17,671.287,30,FALSE,671.127,17061,671.287,23,30,FALSE,24,FALSE
23,4189,FALSE,75,6.092000000002599,671.127,17061,114,111,0,1.4542850322278822,18107,121,107,671.284,18257,122,107,671.287,21,671.287,30,TRUE,669.989,21547,671.287,21,30,FALSE,24,FALSE
5,1427,TRUE,190,42.67499999999518,675.499,126,1,126,0,29.905395935525704,3869,26,119,676.232,4020,27,120,676.228,16,676.232,32,FALSE,676.113,4774,676.232,16,32,FALSE,25,FALSE
16,1171,FALSE,65,3.6319999999980155,676.113,4774,32,124,0,3.101622544831781,4020,27,120,676.228,3869,26,119,676.232,5,676.232,32,TRUE,675.499,126,676.232,5,32,FALSE,25,FALSE
8,4197,FALSE,160,14.359000000001856,670.292,19539,131,39,0,3.4212532761500727,19232,129,32,670.512,19381,130,31,670.514,9,670.514,24,FALSE,669.936,19514,670.132,9,24,FALSE,26,FALSE
9,1823,FALSE,110,9.084999999994238,669.936,19514,131,14,0,4.983543609431837,20412,137,12,670.132,20561,138,11,670.125,6,670.132,24,TRUE,668.858,22201,670.132,6,24,FALSE,26,FALSE
6,1020,TRUE,205,95.56299999998919,668.858,22201,149,1,0,93.6892156862639,20561,138,11,670.125,20412,137,12,670.132,9,670.132,24,FALSE,669.936,19514,670.132,26,24,FALSE,27,FALSE
26,6020,FALSE,110,9.084999999994238,669.936,19514,131,14,0,1.5091362126236276,20412,137,12,670.132,20561,138,11,670.125,6,670.132,24,TRUE,668.858,22201,670.132,6,24,FALSE,27,FALSE
12,597,FALSE,46,3.4169999999991205,676.334,3738,25,138,0,5.723618090450788,3732,25,132,676.519,3881,26,131,676.52,16,676.52,32,TRUE,675.499,126,676.261,25,32,FALSE,28,FALSE
25,2598,TRUE,294,54.28499999999087,675.499,126,1,126,0,20.894919168587712,5821,39,121,676.258,5971,40,121,676.261,11,676.261,32,FALSE,675.272,8374,675.978,11,32,FALSE,28,FALSE
10,943,FALSE,136,39.944999999998345,672.747,13336,89,136,0,42.35949098621245,12577,84,127,673.462,12726,85,126,673.45,23,673.462,30,TRUE,669.989,21547,671.298,24,30,FALSE,29,FALSE
24,5450,TRUE,375,152.50400000000093,669.989,21547,144,97,0,27.982385321101088,22457,150,107,671.298,22458,150,108,671.297,22,671.298,30,TRUE,671.297,22458,671.298,22,30,FALSE,29,FALSE
18,510,FALSE,117,22.88799999999344,673.155,16037,107,137,0,44.878431372536156,14687,98,137,673.608,14537,97,137,673.592,10,673.608,30,TRUE,669.989,21547,671.298,29,30,FALSE,30,FALSE
29,6393,TRUE,375,152.50400000000093,669.989,21547,144,97,0,23.8548412325983,22457,150,107,671.298,22458,150,108,671.297,22,671.298,30,TRUE,671.297,22458,671.298,22,30,FALSE,30,FALSE
11,637,FALSE,124,36.168999999994185,675.272,8374,56,124,0,56.78021978021065,9723,65,123,675.978,9873,66,123,675.971,29,675.978,30,TRUE,669.989,21547,671.298,30,30,FALSE,31,FALSE
30,6903,TRUE,375,152.50400000000093,669.989,21547,144,97,0,22.09242358394914,22457,150,107,671.298,22458,150,108,671.297,22,671.298,30,TRUE,671.297,22458,671.298,22,30,FALSE,31,FALSE
2,1364,FALSE,187,86.80899999999735,673.591,8713,59,13,0,63.64296187683091,9604,65,4,674.508,9753,66,3,674.515,20,674.515,29,TRUE,674.432,10051,674.473,20,29,FALSE,32,FALSE
20,63,TRUE,7,0.1779999999996562,674.432,10051,68,1,0,2.8253968253913686,10651,72,1,674.469,10801,73,1,674.473,6,674.473,29,TRUE,668.858,22201,671.663,27,29,FALSE,32,FALSE
3,487,TRUE,13,0.7009999999995671,679.044,59,1,59,0,1.4394250513338134,50,1,50,679.143,49,1,49,679.146,4,679.146,3,TRUE,673.792,3901,674.805,4,3,FALSE,3,TRUE
4,1996,TRUE,316,173.73099999998396,673.792,3901,27,1,0,87.0395791583086,7059,48,9,674.805,7210,49,10,674.766,2,674.805,4,TRUE,673.591,8713,674.473,32,4,FALSE,4,TRUE
15,48,TRUE,11,0.5040000000001328,677.068,450,3,150,0,10.500000000002766,598,4,148,677.168,597,4,147,677.167,25,677.168,15,TRUE,675.499,126,676.261,28,15,FALSE,15,TRUE
19,652,TRUE,62,14.354000000001406,672.244,22480,150,130,0,22.01533742331504,22323,149,123,672.859,22472,150,122,672.874,22,672.874,19,TRUE,671.297,22458,671.298,22,19,FALSE,19,TRUE
22,115,TRUE,1,9.999999999763531e-4,671.297,22458,150,108,0,0.008695652173707418,22458,150,108,671.297,22457,150,107,671.298,30,671.298,22,TRUE,669.989,21547,671.298,31,22,FALSE,22,TRUE
27,7040,TRUE,2665,2559.9810000000307,668.858,22201,149,1,0,363.6336647727316,22435,150,85,671.656,22436,150,86,671.663,30,671.663,24,TRUE,669.989,21547,671.298,31,24,FALSE,27,TRUE
28,3195,TRUE,294,54.28499999999087,675.499,126,1,126,0,16.990610328635643,5821,39,121,676.258,5971,40,121,676.261,11,676.261,32,TRUE,669.989,21547,671.298,31,32,FALSE,28,TRUE
31,7540,TRUE,375,152.50400000000093,669.989,21547,144,97,0,20.225994694960335,22457,150,107,671.298,22458,150,108,671.297,22,671.298,30,TRUE,671.297,22458,671.298,22,30,FALSE,31,TRUE
32,1427,TRUE,186,79.28199999999197,673.591,8713,59,13,0,55.55851436579675,10651,72,1,674.469,10801,73,1,674.473,27,674.473,29,TRUE,668.858,22201,671.663,27,29,FALSE,32,TRUE
