shedno,shed_area,edge_pit,pit_area,pit_vol,pit_elev,pit_seqno,pit_row,pit_col,pre_vol,varatio,in_seqno,in_row,in_col,in_elev,out_seqno,out_row,out_col,out_elev,drains_to,pour_elev,pond_shed,edge_pit_out,pit_elev_out,pit_seqno_out,pour_elev_out
1,296,FALSE,25,1.0260000000010905,10.488999999999919,22370,150,20,0,3.4662162162199004,22375,150,25,10.591000000000008,22376,150,26,10.58299999999997,8,10.591000000000008,1,TRUE,10.122999999999934,22394,10.49899999999991
3,2092,FALSE,40,3.78800000000183,0.6599999999999682,6502,44,52,0,1.8107074569798423,5604,38,54,0.8509999999999991,5455,37,55,0.8419999999999845,17,0.8509999999999991,3,FALSE,0,4106,0.8509999999999991
4,6712,FALSE,40,1.8900000000018053,1.24899999999991,9061,61,61,0,0.28158522050086493,8158,55,58,1.3479999999999563,8007,54,57,1.350999999999999,3,1.350999999999999,4,FALSE,0.6599999999999682,6502,0.8509999999999991
5,809,FALSE,105,8.402999999995814,8.976999999999975,21376,143,76,0,10.386897404197544,20028,134,78,9.166999999999916,19878,133,78,9.16599999999994,4,9.166999999999916,5,FALSE,1.24899999999991,9061,1.350999999999999
6,2108,FALSE,383,253.27099999999143,5.0079999999999245,18000,120,150,0,120.14753320682706,14850,99,150,6.675999999999931,14700,98,150,6.6749999999999545,13,6.675999999999931,6,TRUE,6.391999999999939,13800,6.483999999999924
8,523,FALSE,219,27.03499999999019,10.122999999999934,22394,150,44,0,51.69216061183593,22402,150,52,10.49899999999991,22253,149,53,10.488999999999919,5,10.49899999999991,8,FALSE,8.976999999999975,21376,9.166999999999916
9,516,FALSE,194,75.24900000000878,6.663999999999987,14529,97,129,0,145.83139534885422,16629,111,129,7.572000000000003,16779,112,129,7.572000000000003,6,7.572000000000003,9,TRUE,5.0079999999999245,18000,6.675999999999931
11,1614,FALSE,495,373.7340000000005,1.9359999999999218,8242,55,142,0,231.55762081784417,5250,35,150,3.4939999999999145,5100,34,150,3.4969999999999573,21,3.4969999999999573,11,TRUE,2.506999999999948,3150,3.4969999999999573
13,80,FALSE,7,0.33399999999971897,6.391999999999939,13800,92,150,0,4.174999999996487,13200,88,150,6.483999999999924,13050,87,150,6.474999999999909,11,6.483999999999924,13,TRUE,1.9359999999999218,8242,3.4969999999999573
14,1074,FALSE,78,16.592000000003964,2.842999999999961,6257,42,107,0,15.44878957169829,6401,43,101,3.3170000000000073,6400,43,100,3.2919999999999163,19,3.3170000000000073,14,FALSE,1.613999999999919,6233,1.7409999999999854
15,231,FALSE,81,15.65900000000397,6.024000000000001,8103,55,3,0,67.78787878789598,7059,48,9,6.418000000000006,6910,47,10,6.390999999999963,16,6.418000000000006,15,FALSE,1.1219999999999573,4389,1.391999999999939
16,1305,FALSE,69,8.700999999999226,1.1219999999999573,4389,30,39,0,6.667432950190978,3644,25,44,1.391999999999939,3495,24,45,1.3819999999999482,17,1.391999999999939,16,FALSE,0,4106,0.8509999999999991
17,1787,FALSE,280,79.25100000001135,0,4106,28,56,0,44.34862898713562,5455,37,55,0.8419999999999845,5604,38,54,0.8509999999999991,3,0.8509999999999991,17,FALSE,0.6599999999999682,6502,0.8509999999999991
19,755,FALSE,37,2.0290000000011332,1.613999999999919,6233,42,83,0,2.6874172185445473,5928,40,78,1.7409999999999854,5777,39,77,1.7269999999999754,25,1.7409999999999854,19,FALSE,0.4289999999999736,982,1.072999999999979
21,733,FALSE,109,32.929000000000315,2.506999999999948,3150,21,150,0,44.923601637108206,5100,34,150,3.4969999999999573,5250,35,150,3.4939999999999145,11,3.4969999999999573,21,TRUE,1.9359999999999218,8242,3.4969999999999573
23,579,FALSE,89,10.683999999998832,2.7579999999999245,2506,17,106,0,18.452504317787273,2500,17,100,3.016999999999939,2649,18,99,3.006999999999948,25,3.016999999999939,23,FALSE,0.4289999999999736,982,1.072999999999979
24,30,FALSE,8,0.21000000000003638,3.9950000000000045,148,1,148,0,7.000000000001212,447,3,147,4.051999999999907,598,4,148,4.05499999999995,21,4.05499999999995,24,TRUE,2.506999999999948,3150,3.4969999999999573
25,1256,FALSE,316,70.55200000000673,0.4289999999999736,982,7,82,0,56.17197452229835,2616,18,66,1.072999999999979,2765,19,65,1.0609999999999218,17,1.072999999999979,25,FALSE,0,4106,0.8509999999999991
